Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,
Don't Let Me Down,Single,Late Beatles (1968-1970),John,35,4,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Call Your Name,Single,Beatlemania (1963-1965),John,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Feel Fine,Single,Beatlemania (1963-1965),John,1,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Rain,Single,Studio (1966-1967),John,23,1,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Revolution,Single,Late Beatles (1968-1970),John,12,1,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
The Ballad of John and Yoko,Single,Late Beatles (1968-1970),John,8,6,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Yes It Is,Single,Beatlemania (1963-1965),John,46,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
From Me to You,Single,Beatlemania (1963-1965),"John, Paul",41,4,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Want to Hold Your Hand,Single,Beatlemania (1963-1965),"John, Paul",1,6,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I'll Get You,Single,Beatlemania (1963-1965),"John, Paul",100+,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Komm Gib Mir Deine Hand,Single,Beatlemania (1963-1965),"John, Paul",100+,5,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
She Loves You,Single,Beatlemania (1963-1965),"John, Paul",1,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Sie Liebt Dich,Single,Beatlemania (1963-1965),"John, Paul",97,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Thank You Girl,Single,Beatlemania (1963-1965),"John, Paul",35,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
We Can Work It Out,Single,Beatlemania (1963-1965),"John, Paul",1,5,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
You Know My Name (Look Up the Number),Single,Studio (1966-1967),"John, Paul",100+,8,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
This Boy,Single,Beatlemania (1963-1965),"John, Paul, George",100+,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Long Tall Sally,Single,Beatlemania (1963-1965),Paul,100+,3,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Day Tripper,Single,Beatlemania (1963-1965),Paul,5,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Hey Jude,Single,Late Beatles (1968-1970),Paul,1,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I'm Down,Single,Beatlemania (1963-1965),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Lady Madonna,Single,Late Beatles (1968-1970),Paul,4,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Paperback Writer,Single,Studio (1966-1967),Paul,1,2,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
She's a Woman,Single,Beatlemania (1963-1965),Paul,4,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Matchbox,Single,Beatlemania (1963-1965),Ringo,17,1,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
"Long, Long, Long",White Album,Late Beatles (1968-1970),George,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Piggies,White Album,Late Beatles (1968-1970),George,100+,1,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Savoy Truffle,White Album,Late Beatles (1968-1970),George,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
